App Name,Category,Description,Auth Methods,Gating,API Type,API Breadth,MCP Availability,Buildability,Main Blocker,Status,Confidence,Evidence URLs
Binance,Trading,Binance API trading data and Zipline bundles,API_KEY,SELF_SERVE,REST,Extensive,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.89,https://0xboz.github.io/blog/how-to-create-custom-zipline-bundles-from-binance-data-part-2/; https://bybit-exchange.github.io/docs/v5/ws/connect; https://bybit-exchange.github.io/docs/v5/intro; https://bingx-api.github.io/docs/
Paygent Connect,AI cost tracking and management,Paygent is an SDK that tracks per-user LLM costs and enforces spending limits before calls reach OpenAI or Anthropic.,API_KEY,SELF_SERVE,REST,limited,UNKNOWN,BUILD_NOW,NONE,RESEARCHED,0.84,https://github.com/FoxRick/paygentic-sdk
iPayX,FX Audit and MCP,Audit-grade FX proof your sales team — or your AI agents — deliver in under 30 seconds.,BEARER,SELF_SERVE,REST,broad,OFFICIAL,UNKNOWN,not enough verified facts to decide,VERIFIED,1.0,https://www.ipayx.ai/developers
QuickBooks,Accounting,Create the next big thing Start building your Intuit-powered app today. Get started Explore all APIs,OAUTH2,SELF_SERVE,REST,Explore all APIs,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.81,https://developer.intuit.com; https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization/oauth-2.0
Xero,Accounting,Xero Developer Platform provides tools and resources to help you build and test your Xero integration faster.,OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.83,https://developer.xero.com; https://developer.xero.com/documentation/guides/oauth2/auth-flow/; https://developer.xero.com/documentation/getting-started-guide/
Brex,Financial API,"Brex is a unified spend platform that allows finance teams to control all of their spend in one place, using the Brex API to power internal tools and create custom workflows.",API_KEY,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://developer.brex.com; https://developer.brex.com/guides/authentication
Ramp,Financial API,The Ramp API allows developers to integrate financial services into their applications.,auth_methods,SELF_SERVE,REST,comprehensive,OFFICIAL,UNKNOWN,not enough verified facts to decide,VERIFIED,0.75,https://docs.ramp.com/developer-api/v1/getting-started; https://apidog.com/blog/ramp-api/
PitchBook,Financial Intelligence,"PitchBook is a financial intelligence platform that provides data on companies, investors, and deals.",API_KEY,SELF_SERVE,SDK_ONLY,"comprehensive database of private equity, venture capital, and M&A activity",OFFICIAL,BUILD_WITH_CAVEATS,"no documented HTTP API, SDK only",VERIFIED,0.49,https://pitchbook.com; https://pitchbook.com/products/direct-access-data/api; https://github.com/NangoHQ/nango/issues/5487
NotebookLM,AI agent toolkit,"Gemini is a platform that helps developers and businesses build applications with AI models, including a notebook management API",API_KEY,SELF_SERVE,REST,Notebook management API,OFFICIAL,BUILD_NOW,NONE,UNRESOLVED,,https://cloud.google.com/gemini; https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks
Otter AI,AI-powered meeting transcription and collaboration tool,"Otter transcribes every meeting, turning it into searchable knowledge that powers your workflow",API_KEY,SELF_SERVE,SDK_ONLY,comprehensive,OFFICIAL,BUILD_WITH_CAVEATS,"no documented HTTP API, SDK only",VERIFIED,0.8,https://help.otter.ai; https://otter.ai/
Fathom,AI Notetaker,AI notetaking that summarizes meetings so you can focus on the conversation.,API_KEY,SELF_SERVE,SDK_ONLY,broad,OFFICIAL,BUILD_WITH_CAVEATS,"no documented HTTP API, SDK only",VERIFIED,0.82,https://fathom.video
Consensus,AI research and knowledge,"Embed the intelligence of a Consensus Search into your internal tools, workflows, or apps to deliver trusted, high-quality references on demand.",OAUTH2,SELF_SERVE,REST,search 200+ million peer-reviewed research papers,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.9,https://consensus.app; https://consensus.app/home/api/; https://docs.consensus.app/docs/mcp; https://docs.consensus.app/llms.txt
Reducto,Document Processing,"Automated intake pipelines, structured data extraction, document splitting, editing, and workflow orchestration.",API_KEY,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.98,https://reducto.ai; https://docs.reducto.ai/quickstart; https://docs.reducto.ai/
Devin,AI software engineer,"Devin can handle most tasks, excluding extremely difficult tasks. It can write, run, and test code, and can be used to tackle Linear/Jira tickets, implement new features, repro and fix bugs, build internal tools, and more.","OAUTH2, API_KEY, JWT",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,UNRESOLVED,,https://docs.devin.ai; https://docs.devin.ai/api-reference/authentication; https://docs.devin.ai/api-reference/overview
higgsfield,AI-native creative suite,Delivers comprehensive access to an extensive library of cutting-edge generative media models through a unified integration point.,"MCP, CLI, API_KEY",SELF_SERVE,SDK_ONLY,extensive library of cutting-edge generative media models,OFFICIAL,BUILD_WITH_CAVEATS,"no documented HTTP API, SDK only",UNRESOLVED,,https://higgsfield.ai; https://docs.higgsfield.ai/; https://higgsfield.ai/cli
Mermaid CLI,Command line tool,Converts Mermaid mmd Diagram File To SVG,OAUTH2,SELF_SERVE,SDK_ONLY,Limited,true,BUILD_WITH_CAVEATS,"no documented HTTP API, SDK only",VERIFIED,0.82,https://github.com/mermaid-js/mermaid-cli; https://github.com/data-mermaid/mermaid-api/blob/master/docs/source/authentication.rst; https://github.com/rtuin/mcp-mermaid-validator
YouTube Transcript,,,,,,,,,,UNRESOLVED,,
Grain,,,,,,,,,,UNRESOLVED,,
